district_name,area,Latitude (generated),Longitude (generated),subject_injured,percent_subject_injured
31st,Mixed,41.95715242,-87.81202885,67,0.273469388
25th,Mixed,41.92306164,-87.76820893,962,0.264794935
24th,Mixed,42.00576246,-87.67746935,596,0.290024331
22nd,Mixed,41.70057692,-87.68480626,371,0.229579208
20th,Mixed,41.97929384,-87.68369064,255,0.234375
19th,Mixed,41.95014518,-87.65924878,458,0.265661253
18th,Mixed,41.9058785,-87.62738669,769,0.242052251
17th,Mixed,41.96688119,-87.71378213,375,0.28280543
16th,Mixed,41.97990206,-87.8253741,448,0.311111111
15th,Mixed,41.88365693,-87.75746089,1090,0.252958923
14th,Mixed,41.92230732,-87.6903816,695,0.351010101
12th,Mixed,41.88001517,-87.67198611,742,0.281380356
11th,Mixed,41.88287415,-87.71896562,1881,0.254189189
10th,Mixed,41.85347529,-87.7141023,961,0.276070095
9th,Mixed,41.81361511,-87.66425332,961,0.306930693
8th,Mixed,41.78350515,-87.74064839,873,0.245984784
7th,Mixed,41.78100845,-87.64452625,1183,0.263768116
6th,Mixed,41.7427621,-87.63508273,1163,0.259020045
5th,Mixed,41.6837095,-87.61698064,757,0.243486652
4th,Mixed,41.7265335,-87.55242432,945,0.272491349
3rd,Mixed,41.77437972,-87.58411471,818,0.258942703
2nd,Mixed,41.81228664,-87.60063435,449,0.286717752
1st,Mixed,41.86465626,-87.6141689,456,0.234326824
Unknown,,,,95,0.271428571
